,Essay,Simhash Before,Simhash after,Quality before,Quality After,ACC,AUROC,F1
0,1.txt,30,26,0.9,0.8,0.5,0.0,0.0
1,10.txt,25,28,0.9,0.8,0.5,0.0,0.0
2,100.txt,26,32,0.9,0.8,0.5,0.0,0.0
3,101.txt,24,34,0.9,0.8,0.5,0.0,0.0
4,102.txt,22,30,0.9,0.8,0.5,0.0,0.0
5,103.txt,26,29,0.9,0.8,0.5,0.0,0.0
6,104.txt,25,33,0.9,0.8,0.5,0.0,0.0
7,105.txt,25,31,0.9,0.8,0.5,0.0,0.0
8,106.txt,33,39,0.9,0.8,0.5,0.0,0.0
9,107.txt,19,21,0.9,0.7,0.5,0.0,0.0
10,108.txt,25,29,0.9,0.8,0.5,0.0,0.0
11,109.txt,23,28,0.9,0.8,0.5,0.0,0.0
12,11.txt,28,31,0.9,0.8,0.5,0.0,0.0
13,110.txt,29,31,0.8,0.8,0.5,0.0,0.0
14,111.txt,24,27,0.9,0.8,0.5,0.0,0.0
15,112.txt,30,28,0.9,0.8,0.5,0.0,0.0
16,113.txt,23,27,0.9,0.8,0.5,0.0,0.0
17,114.txt,29,28,0.9,0.8,0.5,0.0,0.0
18,115.txt,25,21,0.9,0.8,0.5,0.0,0.0
19,116.txt,32,28,0.8,0.8,0.5,0.0,0.0
